0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 
0 success, cost: 253 ms
1 fail, cost: 439 ms
2 fail, cost: 501 ms
3 fail, cost: 529 ms
4 fail, cost: 1277 ms
5 fail, cost: 674 ms
6 fail, cost: 673 ms
7 fail, cost: 601 ms
8 fail, cost: 666 ms
9 fail, cost: 1108 ms
10 fail, cost: 574 ms
11 fail, cost: 533 ms
12 fail, cost: 763 ms
13 fail, cost: 518 ms
14 fail, cost: 1220 ms
15 fail, cost: 777 ms
16 fail, cost: 720 ms
17 fail, cost: 534 ms
18 fail, cost: 1340 ms
19 fail, cost: 622 ms
20 fail, cost: 730 ms
21 fail, cost: 557 ms
22 fail, cost: 639 ms
23 fail, cost: 1156 ms
24 fail, cost: 572 ms
25 fail, cost: 615 ms
26 fail, cost: 608 ms
27 fail, cost: 456 ms
28 fail, cost: 1285 ms
29 fail, cost: 566 ms
30 fail, cost: 658 ms
31 fail, cost: 626 ms
32 fail, cost: 714 ms
33 fail, cost: 1280 ms
34 fail, cost: 695 ms
35 fail, cost: 591 ms
36 fail, cost: 1123 ms
37 fail, cost: 1317 ms
38 fail, cost: 893 ms
39 fail, cost: 703 ms
40 fail, cost: 690 ms
41 fail, cost: 1289 ms
42 fail, cost: 707 ms
43 fail, cost: 598 ms
44 fail, cost: 851 ms
45 fail, cost: 1703 ms
46 fail, cost: 760 ms
47 fail, cost: 588 ms
48 fail, cost: 703 ms
49 fail, cost: 769 ms
50 fail, cost: 1240 ms
51 fail, cost: 523 ms
52 fail, cost: 883 ms
53 fail, cost: 779 ms
54 fail, cost: 1472 ms
55 fail, cost: 584 ms
56 fail, cost: 690 ms
57 fail, cost: 631 ms
58 fail, cost: 1365 ms
59 fail, cost: 572 ms
60 fail, cost: 796 ms
61 fail, cost: 593 ms
62 fail, cost: 553 ms
63 fail, cost: 977 ms
64 fail, cost: 712 ms
65 fail, cost: 635 ms
66 fail, cost: 666 ms
67 fail, cost: 520 ms
68 fail, cost: 1219 ms
69 fail, cost: 611 ms
70 fail, cost: 705 ms
71 fail, cost: 596 ms
72 fail, cost: 1736 ms
73 fail, cost: 671 ms
74 fail, cost: 593 ms
75 fail, cost: 569 ms
76 fail, cost: 700 ms
